epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,106.165,1.4794,1.89611,1.19368,0.47914,0.6315,0.53913,0.31181,1.44158,1.21603,1.21771,0.000276991,0.000276991,0.000276991
2,203.229,1.39042,1.16597,1.16344,0.53183,0.65347,0.59996,0.37189,1.42009,1.09191,1.2103,0.000543676,0.000543676,0.000543676
3,297.123,1.37671,1.10811,1.1527,0.57798,0.69539,0.64535,0.39776,1.38655,0.9865,1.18642,0.000799364,0.000799364,0.000799364
4,390.455,1.35868,1.0728,1.15209,0.58987,0.68064,0.67175,0.4181,1.36059,0.95395,1.1766,0.00078352,0.00078352,0.00078352
5,482.972,1.3372,1.03389,1.13889,0.67838,0.6787,0.70343,0.44785,1.3347,0.89733,1.16198,0.000767026,0.000767026,0.000767026
6,573.82,1.31646,0.99623,1.12688,0.66553,0.71449,0.71155,0.45725,1.32199,0.8722,1.1554,0.000750533,0.000750533,0.000750533
7,662.984,1.29514,0.96909,1.11204,0.66121,0.67465,0.68824,0.44405,1.30757,0.95561,1.13881,0.00073404,0.00073404,0.00073404
8,753.792,1.27929,0.94627,1.10176,0.67915,0.69116,0.72635,0.47452,1.29565,0.87242,1.13503,0.000717546,0.000717546,0.000717546
9,841.87,1.27213,0.93781,1.10162,0.69126,0.74719,0.73553,0.47746,1.31371,0.85187,1.1402,0.000701053,0.000701053,0.000701053
10,932.727,1.24902,0.90368,1.09454,0.66596,0.73853,0.74487,0.48267,1.29251,0.84212,1.13676,0.000684559,0.000684559,0.000684559
11,1027.97,1.24398,0.89173,1.08684,0.71745,0.71446,0.7581,0.4982,1.2872,0.81355,1.13412,0.000668066,0.000668066,0.000668066
12,1119.52,1.24172,0.88294,1.08632,0.66785,0.73287,0.73795,0.484,1.31442,0.84651,1.15321,0.000651573,0.000651573,0.000651573
13,1208.44,1.22076,0.86096,1.07877,0.68269,0.7531,0.7491,0.50408,1.25904,0.80794,1.11347,0.000635079,0.000635079,0.000635079
14,1294.64,1.20903,0.8403,1.07407,0.71516,0.75373,0.77136,0.52231,1.25407,0.79722,1.11825,0.000618586,0.000618586,0.000618586
15,1383.41,1.20483,0.83332,1.07569,0.71444,0.74349,0.76975,0.51917,1.26345,0.79078,1.11547,0.000602092,0.000602092,0.000602092
16,1473.78,1.19256,0.82764,1.06833,0.73243,0.74857,0.78507,0.52702,1.24757,0.77482,1.10829,0.000585599,0.000585599,0.000585599
17,1560.87,1.19286,0.81831,1.06746,0.69907,0.75893,0.77302,0.5217,1.22621,0.77266,1.10473,0.000569106,0.000569106,0.000569106
18,1647.13,1.18264,0.7994,1.06458,0.72929,0.75785,0.77849,0.52985,1.23807,0.76709,1.10757,0.000552612,0.000552612,0.000552612
19,1741.56,1.17227,0.78589,1.06295,0.73978,0.76307,0.79615,0.54886,1.21726,0.74623,1.1001,0.000536119,0.000536119,0.000536119
20,1836.58,1.16066,0.77695,1.05469,0.73629,0.77631,0.80297,0.55039,1.21764,0.74487,1.09922,0.000519625,0.000519625,0.000519625
21,1934.3,1.15416,0.77199,1.05542,0.75037,0.76512,0.7951,0.5479,1.21584,0.74022,1.0987,0.000503132,0.000503132,0.000503132
22,2041.3,1.14778,0.76137,1.05145,0.78787,0.7572,0.82241,0.5779,1.18746,0.71753,1.0857,0.000486639,0.000486639,0.000486639
23,2142.27,1.14235,0.75046,1.04864,0.7662,0.76085,0.82249,0.57149,1.20109,0.72216,1.09152,0.000470145,0.000470145,0.000470145
24,2246.45,1.12863,0.74353,1.04333,0.72392,0.77303,0.80632,0.557,1.2068,0.73953,1.09018,0.000453652,0.000453652,0.000453652
25,2353.21,1.1234,0.73655,1.0437,0.7583,0.79057,0.83053,0.57942,1.17902,0.71014,1.08213,0.000437158,0.000437158,0.000437158
26,2459.08,1.1206,0.71944,1.03963,0.77152,0.77649,0.8304,0.58084,1.18585,0.70743,1.08383,0.000420665,0.000420665,0.000420665
27,2565.56,1.11258,0.70945,1.03952,0.78656,0.757,0.82485,0.57754,1.18307,0.70342,1.08301,0.000404172,0.000404172,0.000404172
28,2669.05,1.10007,0.69733,1.03331,0.78238,0.77737,0.81946,0.57733,1.17955,0.69953,1.08198,0.000387678,0.000387678,0.000387678
29,2772.1,1.08246,0.68731,1.0277,0.78231,0.8078,0.84643,0.59815,1.17227,0.68458,1.07644,0.000371185,0.000371185,0.000371185
30,2872.5,1.08104,0.67399,1.02419,0.76088,0.80215,0.83032,0.58385,1.16939,0.68345,1.07996,0.000354691,0.000354691,0.000354691
31,2967.32,1.0705,0.66857,1.02104,0.79332,0.76891,0.8325,0.58545,1.16908,0.68883,1.07519,0.000338198,0.000338198,0.000338198
32,3066.1,1.05363,0.6512,1.01348,0.7977,0.77666,0.84162,0.59552,1.15876,0.67329,1.07232,0.000321705,0.000321705,0.000321705
33,3169.1,1.05382,0.65286,1.01488,0.78043,0.79411,0.82903,0.59012,1.15294,0.67274,1.06829,0.000305211,0.000305211,0.000305211
34,3266.91,1.05378,0.63941,1.01608,0.80852,0.77002,0.8386,0.59905,1.1511,0.6683,1.06648,0.000288718,0.000288718,0.000288718
35,3367.38,1.03566,0.64026,1.00837,0.78248,0.81117,0.8496,0.61016,1.14396,0.66004,1.06298,0.000272224,0.000272224,0.000272224
36,3465.67,1.04151,0.63004,1.01295,0.81347,0.78076,0.85046,0.6144,1.1378,0.65504,1.0657,0.000255731,0.000255731,0.000255731
37,3565.04,1.02017,0.61909,1.00214,0.80854,0.796,0.85772,0.61614,1.13393,0.64995,1.06361,0.000239238,0.000239238,0.000239238
38,3664.25,1.00835,0.61045,0.99819,0.7909,0.79998,0.84751,0.61558,1.12394,0.65454,1.05837,0.000222744,0.000222744,0.000222744
39,3761.55,1.00872,0.60037,0.99962,0.8189,0.77568,0.85782,0.62652,1.11741,0.64315,1.05435,0.000206251,0.000206251,0.000206251
