epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,107.802,1.47935,1.82996,1.17461,0.47846,0.64056,0.54351,0.30531,1.48817,1.17748,1.21403,0.000276991,0.000276991,0.000276991
2,204.453,1.4102,1.19524,1.15214,0.5058,0.58853,0.5714,0.34768,1.40417,1.10328,1.1755,0.000543676,0.000543676,0.000543676
3,299.677,1.39251,1.14267,1.14066,0.62484,0.66008,0.65986,0.4053,1.41597,1.01488,1.19165,0.000799364,0.000799364,0.000799364
4,389.991,1.37551,1.10426,1.14208,0.6357,0.64702,0.65302,0.39591,1.38725,1.04204,1.17524,0.00078352,0.00078352,0.00078352
5,486.634,1.35395,1.05702,1.13369,0.57937,0.67129,0.65081,0.40941,1.34302,0.97869,1.14674,0.000767026,0.000767026,0.000767026
6,579.633,1.33123,1.01781,1.11765,0.66912,0.70238,0.72072,0.45953,1.35094,0.90553,1.14506,0.000750533,0.000750533,0.000750533
7,675.212,1.30938,0.99564,1.1035,0.61467,0.70971,0.69806,0.44957,1.32377,0.92132,1.13383,0.00073404,0.00073404,0.00073404
8,773.187,1.29237,0.96847,1.10083,0.64301,0.69147,0.71308,0.45433,1.31604,0.89344,1.13604,0.000717546,0.000717546,0.000717546
9,870.068,1.28877,0.96695,1.09866,0.64811,0.74075,0.72864,0.47198,1.29791,0.87385,1.11999,0.000701053,0.000701053,0.000701053
10,965.743,1.26939,0.93675,1.08786,0.64769,0.74223,0.71159,0.45938,1.30875,0.8836,1.13071,0.000684559,0.000684559,0.000684559
11,1062.71,1.26475,0.9157,1.08677,0.69959,0.72716,0.75532,0.49288,1.28448,0.8397,1.11901,0.000668066,0.000668066,0.000668066
12,1159.22,1.26317,0.90597,1.08341,0.69462,0.73555,0.74885,0.48858,1.30257,0.83683,1.12729,0.000651573,0.000651573,0.000651573
13,1255.31,1.23843,0.8871,1.07525,0.69148,0.73923,0.74979,0.49779,1.27738,0.82971,1.11179,0.000635079,0.000635079,0.000635079
14,1348.61,1.22789,0.87121,1.07302,0.70754,0.75734,0.76435,0.51048,1.26208,0.8051,1.10182,0.000618586,0.000618586,0.000618586
15,1440.8,1.22706,0.86125,1.07507,0.71969,0.74854,0.7729,0.51666,1.26761,0.80648,1.11085,0.000602092,0.000602092,0.000602092
16,1534.42,1.21222,0.85797,1.06841,0.68523,0.72594,0.76485,0.51591,1.24109,0.80187,1.09908,0.000585599,0.000585599,0.000585599
17,1628.17,1.21228,0.84291,1.06514,0.70559,0.73204,0.77669,0.51917,1.25002,0.80139,1.10181,0.000569106,0.000569106,0.000569106
18,1724.63,1.20471,0.83023,1.06356,0.71191,0.76175,0.7851,0.53524,1.24291,0.78925,1.10149,0.000552612,0.000552612,0.000552612
19,1820.78,1.18897,0.81531,1.05992,0.7451,0.73696,0.78636,0.53696,1.2282,0.77319,1.08952,0.000536119,0.000536119,0.000536119
20,1917.36,1.18401,0.80963,1.05516,0.71101,0.75894,0.78728,0.53444,1.24076,0.76524,1.09503,0.000519625,0.000519625,0.000519625
21,2013.21,1.17889,0.80109,1.05489,0.72954,0.76499,0.78253,0.53008,1.22596,0.75783,1.09179,0.000503132,0.000503132,0.000503132
22,2105.12,1.1673,0.79187,1.05107,0.75182,0.75599,0.8064,0.55514,1.20165,0.74123,1.08198,0.000486639,0.000486639,0.000486639
23,2201.29,1.16755,0.78688,1.04908,0.73933,0.74713,0.80163,0.55454,1.20657,0.73646,1.08302,0.000470145,0.000470145,0.000470145
24,2297.53,1.15514,0.77347,1.04564,0.72964,0.75778,0.80166,0.55238,1.21422,0.74436,1.0845,0.000453652,0.000453652,0.000453652
25,2398.99,1.14848,0.77241,1.04683,0.72038,0.78441,0.81827,0.56734,1.1956,0.72216,1.08131,0.000437158,0.000437158,0.000437158
26,2494.36,1.15024,0.75028,1.04546,0.74429,0.76738,0.81353,0.56358,1.19479,0.72556,1.07663,0.000420665,0.000420665,0.000420665
27,2587.43,1.14026,0.74541,1.04048,0.76229,0.76744,0.81386,0.56382,1.1963,0.7118,1.08052,0.000404172,0.000404172,0.000404172
28,2681.05,1.12888,0.73904,1.03552,0.78072,0.75747,0.82153,0.57436,1.18337,0.71903,1.06925,0.000387678,0.000387678,0.000387678
29,2773.26,1.11653,0.72695,1.03336,0.77499,0.77619,0.83245,0.5816,1.18517,0.69743,1.07502,0.000371185,0.000371185,0.000371185
30,2865.11,1.11579,0.71324,1.0299,0.77489,0.76788,0.82504,0.56775,1.19414,0.70277,1.07795,0.000354691,0.000354691,0.000354691
31,2957.85,1.10214,0.70448,1.02566,0.77231,0.79301,0.82402,0.57627,1.18613,0.70241,1.0727,0.000338198,0.000338198,0.000338198
32,3051.62,1.08785,0.69546,1.01912,0.76996,0.79593,0.83284,0.58891,1.1662,0.68459,1.06303,0.000321705,0.000321705,0.000321705
33,3141.24,1.08818,0.69674,1.02009,0.76673,0.78058,0.82032,0.5802,1.17003,0.68888,1.06725,0.000305211,0.000305211,0.000305211
34,3229.56,1.09293,0.68227,1.02392,0.77485,0.76893,0.82811,0.59035,1.16047,0.68399,1.06352,0.000288718,0.000288718,0.000288718
35,3322.27,1.07793,0.68148,1.01559,0.77428,0.78378,0.83333,0.58974,1.15962,0.67806,1.06161,0.000272224,0.000272224,0.000272224
36,3416.2,1.07986,0.67351,1.01821,0.78288,0.79815,0.84783,0.60258,1.15625,0.66223,1.0617,0.000255731,0.000255731,0.000255731
37,3509.16,1.0609,0.65838,1.00872,0.77263,0.79688,0.84185,0.59826,1.15301,0.66882,1.05852,0.000239238,0.000239238,0.000239238
38,3600.32,1.05143,0.65157,1.0068,0.79091,0.7876,0.83984,0.60018,1.14267,0.67544,1.05331,0.000222744,0.000222744,0.000222744
39,3692.21,1.05042,0.64192,1.00786,0.77217,0.81619,0.8494,0.61155,1.14034,0.66575,1.05292,0.000206251,0.000206251,0.000206251
40,3787.14,1.03931,0.64111,1.00356,0.79448,0.79305,0.85473,0.61002,1.13546,0.6634,1.05446,0.000189757,0.000189757,0.000189757
41,3887.15,1.03435,0.57987,1.01149,0.8083,0.78684,0.85414,0.61345,1.13152,0.65683,1.05006,0.000173264,0.000173264,0.000173264
42,3981.48,1.01591,0.55876,1.0031,0.8026,0.78919,0.85044,0.6116,1.12973,0.65749,1.04973,0.000156771,0.000156771,0.000156771
43,4078.59,1.0041,0.54865,1.0018,0.79843,0.79938,0.8532,0.61345,1.12619,0.65444,1.0494,0.000140277,0.000140277,0.000140277
