epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,169.384,1.51381,12.6487,1.2795,0.56501,0.52825,0.50885,0.2855,1.55125,9.48049,1.40879,0.000276991,0.000276991,0.000276991
2,332.728,1.47824,9.50611,1.27653,0.5611,0.6159,0.59159,0.33482,1.5117,8.77797,1.36517,0.000543676,0.000543676,0.000543676
3,487.767,1.46953,9.16986,1.28163,0.56263,0.68169,0.62892,0.3639,1.48764,8.33778,1.3603,0.000799364,0.000799364,0.000799364
4,643.576,1.44534,8.82501,1.27224,0.57986,0.66456,0.65115,0.37967,1.48507,8.12246,1.33767,0.00078352,0.00078352,0.00078352
5,799.454,1.43442,8.51422,1.25676,0.63362,0.69458,0.68626,0.40323,1.4606,7.7652,1.31967,0.000767026,0.000767026,0.000767026
6,955.364,1.39838,8.10069,1.2377,0.62716,0.73218,0.7034,0.42567,1.43996,7.35537,1.31777,0.000750533,0.000750533,0.000750533
7,1109.62,1.3848,7.90465,1.22409,0.64747,0.71678,0.68869,0.39921,1.45837,7.60653,1.33922,0.00073404,0.00073404,0.00073404
8,1265.6,1.36545,7.73757,1.22004,0.68459,0.72245,0.73191,0.45438,1.39259,6.95224,1.29194,0.000717546,0.000717546,0.000717546
9,1419.89,1.3656,7.6873,1.22215,0.64148,0.75852,0.72754,0.45449,1.3808,6.94089,1.29547,0.000701053,0.000701053,0.000701053
10,1571.56,1.35052,7.47899,1.21201,0.64718,0.74922,0.72762,0.45938,1.36271,7.01869,1.25894,0.000684559,0.000684559,0.000684559
11,1720.04,1.33812,7.35452,1.2047,0.69106,0.74724,0.75137,0.47206,1.37592,6.66651,1.27481,0.000668066,0.000668066,0.000668066
12,1876.47,1.33493,7.22365,1.19885,0.64494,0.7542,0.73906,0.45281,1.42493,6.88119,1.32377,0.000651573,0.000651573,0.000651573
13,2031.06,1.32524,7.0997,1.19207,0.69866,0.75135,0.76091,0.48807,1.33697,6.55929,1.2639,0.000635079,0.000635079,0.000635079
14,2182.16,1.30399,6.91361,1.18994,0.72483,0.73362,0.76449,0.4892,1.34267,6.55824,1.26402,0.000618586,0.000618586,0.000618586
15,2336.94,1.3067,6.87499,1.19563,0.70431,0.77381,0.77721,0.50164,1.33519,6.50032,1.26717,0.000602092,0.000602092,0.000602092
16,2492.52,1.29467,6.7991,1.1837,0.70164,0.7434,0.77569,0.50446,1.31241,6.45177,1.23907,0.000585599,0.000585599,0.000585599
